optimizer,batch_size,noise_std,seed,mse,matched_root_error,n_reverts,steps,epochs,final_lr,seconds
adaptive_sgd,full,0.0,42,0.03845,0.17384,16,4000,4000.0,1.0,178.71
adam,full,0.0,42,0.01605,0.10461,0,4000,4000.0,0.001,237.29
sgd,full,0.0,42,0.6002,0.85366,0,4000,4000.0,0.001,173.75
rmsprop,full,0.0,42,0.02828,0.14909,0,4000,4000.0,0.001,203.34
adaptive_sgd,4096,0.0,42,0.19813,0.43771,376,4000,252.06,1e-06,46.38
adam,4096,0.0,42,0.01754,0.11018,0,4000,252.06,0.001,120.27
sgd,4096,0.0,42,0.60019,0.85366,0,4000,252.06,0.001,51.31
rmsprop,4096,0.0,42,0.02829,0.1488,0,4000,252.06,0.001,78.75
adaptive_sgd,512,0.0,42,0.17971,0.41785,374,4000,31.51,1e-06,36.8
adam,512,0.0,42,0.02006,0.12208,0,4000,31.51,0.001,98.2
sgd,512,0.0,42,0.60022,0.85368,0,4000,31.51,0.001,39.99
rmsprop,512,0.0,42,0.02862,0.14879,0,4000,31.51,0.001,64.59
adaptive_sgd,64,0.0,42,4.12692,2.24362,395,4000,3.94,1e-06,32.22
adam,64,0.0,42,0.02887,0.15047,0,4000,3.94,0.001,87.14
sgd,64,0.0,42,0.60016,0.85371,0,4000,3.94,0.001,32.51
rmsprop,64,0.0,42,0.03355,0.16498,0,4000,3.94,0.001,55.43
adaptive_sgd,full,0.05,42,0.03845,0.17387,15,4000,4000.0,1.0,172.95
adam,full,0.05,42,0.01616,0.10542,0,4000,4000.0,0.001,235.51
sgd,full,0.05,42,0.60034,0.85379,0,4000,4000.0,0.001,170.88
rmsprop,full,0.05,42,0.02818,0.14873,0,4000,4000.0,0.001,202.28
adaptive_sgd,4096,0.05,42,0.19817,0.4377,376,4000,252.06,1e-06,44.47
adam,4096,0.05,42,0.01783,0.11141,0,4000,252.06,0.001,110.86
sgd,4096,0.05,42,0.60034,0.85379,0,4000,252.06,0.001,50.97
rmsprop,4096,0.05,42,0.02869,0.15057,0,4000,252.06,0.001,75.91
adaptive_sgd,512,0.05,42,0.19788,0.43908,375,4000,31.51,1e-06,35.47
adam,512,0.05,42,0.02085,0.12585,0,4000,31.51,0.001,97.17
sgd,512,0.05,42,0.60036,0.85381,0,4000,31.51,0.001,38.91
rmsprop,512,0.05,42,0.02939,0.15197,0,4000,31.51,0.001,66.55
adaptive_sgd,64,0.05,42,4.12691,2.24361,394,4000,3.94,1e-06,31.07
adam,64,0.05,42,0.02957,0.15625,0,4000,3.94,0.001,84.71
sgd,64,0.05,42,0.60031,0.85386,0,4000,3.94,0.001,32.7
rmsprop,64,0.05,42,0.03371,0.16382,0,4000,3.94,0.001,55.76
adaptive_sgd,full,0.1,42,0.0387,0.17466,14,4000,4000.0,1.0,173.23
adam,full,0.1,42,0.01659,0.1081,0,4000,4000.0,0.001,236.84
sgd,full,0.1,42,0.60048,0.85392,0,4000,4000.0,0.001,171.29
rmsprop,full,0.1,42,0.02921,0.15359,0,4000,4000.0,0.001,201.71
adaptive_sgd,4096,0.1,42,0.1982,0.43769,377,4000,252.06,1e-06,43.44
adam,4096,0.1,42,0.01862,0.11545,0,4000,252.06,0.001,101.81
sgd,4096,0.1,42,0.60048,0.85392,0,4000,252.06,0.001,46.0
rmsprop,4096,0.1,42,0.02878,0.14996,0,4000,252.06,0.001,71.84
adaptive_sgd,512,0.1,42,0.19783,0.43918,376,4000,31.51,1e-06,41.28
adam,512,0.1,42,0.02157,0.12755,0,4000,31.51,0.001,94.22
sgd,512,0.1,42,0.6005,0.85394,0,4000,31.51,0.001,40.35
rmsprop,512,0.1,42,0.02953,0.15249,0,4000,31.51,0.001,67.21
adaptive_sgd,64,0.1,42,4.12682,2.24359,390,4000,3.94,1e-06,30.58
adam,64,0.1,42,0.03092,0.15742,0,4000,3.94,0.001,84.87
sgd,64,0.1,42,0.60047,0.85402,0,4000,3.94,0.001,32.53
rmsprop,64,0.1,42,0.03603,0.1715,0,4000,3.94,0.001,55.58
adaptive_sgd,full,0.2,42,0.03948,0.17735,14,4000,4000.0,1.0,173.42
adam,full,0.2,42,0.01785,0.11669,0,4000,4000.0,0.001,236.14
sgd,full,0.2,42,0.60077,0.85419,0,4000,4000.0,0.001,170.8
rmsprop,full,0.2,42,0.03061,0.15841,0,4000,4000.0,0.001,202.64
adaptive_sgd,4096,0.2,42,0.15379,0.38254,373,4000,252.06,1e-06,43.85
adam,4096,0.2,42,0.02097,0.12774,0,4000,252.06,0.001,102.01
sgd,4096,0.2,42,0.60077,0.85419,0,4000,252.06,0.001,46.26
rmsprop,4096,0.2,42,0.03049,0.15631,0,4000,252.06,0.001,72.2
adaptive_sgd,512,0.2,42,0.21211,0.45702,374,4000,31.51,1e-06,38.95
adam,512,0.2,42,0.02529,0.14399,0,4000,31.51,0.001,95.07
sgd,512,0.2,42,0.60079,0.8542,0,4000,31.51,0.001,41.23
rmsprop,512,0.2,42,0.03314,0.16776,0,4000,31.51,0.001,66.82
adaptive_sgd,64,0.2,42,4.12665,2.24356,392,4000,3.94,1e-06,30.57
adam,64,0.2,42,0.03828,0.18209,0,4000,3.94,0.001,84.87
sgd,64,0.2,42,0.6008,0.85434,0,4000,3.94,0.001,32.47
rmsprop,64,0.2,42,0.04213,0.1896,0,4000,3.94,0.001,55.82
